"Timestamp","Price","Open","High","Low","Vol.","Change %"
"01/20/2026","437.23","436.69","438.14","434.10","21.31M","3.78%"
"01/16/2026","421.29","422.80","424.80","417.04","20.95M","-0.48%"
"01/15/2026","423.33","423.02","425.06","422.79","14.25M","-0.61%"
"01/14/2026","425.94","426.03","426.86","422.84","18.31M","1.02%"
"01/13/2026","421.63","424.59","426.12","420.07","16.68M","-0.14%"
"01/12/2026","422.23","421.52","425.74","421.52","20.90M","1.87%"
"01/09/2026","414.47","413.21","415.29","411.80","14.01M","0.72%"
"01/08/2026","411.49","406.96","411.64","406.40","8.71M","0.55%"
"01/07/2026","409.23","408.63","410.81","406.65","10.59M","-0.96%"
"01/06/2026","413.18","410.67","413.48","410.31","11.64M","1.08%"
"01/05/2026","408.76","406.39","409.72","406.15","13.41M","2.63%"
"01/02/2026","398.28","401.62","401.82","396.25","10.37M","0.50%"
"12/31/2025","396.31","398.60","400.13","395.59","10.19M","-0.65%"
"12/30/2025","398.89","403.60","403.80","398.56","10.18M","0.07%"
"12/29/2025","398.60","403.66","403.76","395.33","20.68M","-4.35%"
"12/26/2025","416.74","416.48","418.45","414.75","10.48M","1.17%"
"12/25/2025","411.93","412.25","411.93","411.93","6.72M","0.00%"
"12/24/2025","411.93","412.25","412.63","408.83","6.72M","-0.41%"
"12/23/2025","413.64","410.30","413.76","407.10","13.19M","1.33%"
"12/22/2025","408.23","406.98","408.52","405.72","14.20M","2.31%"
"12/19/2025","399.02","397.92","400.63","397.17","9.89M","0.11%"
"12/18/2025","398.57","398.28","402.21","396.05","11.84M","-0.18%"
"12/17/2025","399.29","398.08","399.98","397.25","10.46M","0.86%"
"12/16/2025","395.89","397.75","398.71","394.59","9.20M","0.02%"
"12/15/2025","395.80","397.76","398.71","394.07","11.35M","0.09%"
"12/12/2025","395.44","399.15","400.39","391.47","16.79M","0.56%"
"12/11/2025","393.24","389.02","394.09","388.50","11.24M","1.08%"
"12/10/2025","389.05","385.95","389.76","384.50","9.12M","0.43%"
"12/09/2025","387.40","385.62","388.21","385.27","6.36M","0.51%"
"12/08/2025","385.42","387.02","387.24","384.01","6.82M","-0.26%"
"12/05/2025","386.44","389.12","391.73","386.17","9.45M","-0.18%"
"12/04/2025","387.13","386.92","388.00","385.40","6.75M","0.06%"
"12/03/2025","386.88","388.46","390.13","385.83","7.89M","-0.09%"
"12/02/2025","387.24","388.87","388.98","382.91","8.10M","-0.64%"
"12/01/2025","389.75","390.61","390.70","388.06","11.18M","0.48%"
"11/28/2025","387.88","385.98","388.00","384.99","7.18M","1.24%"
"11/26/2025","383.12","381.05","383.77","380.46","9.18M","0.80%"
"11/25/2025","380.08","380.26","382.52","378.06","10.46M","-0.03%"
"11/24/2025","380.20","374.88","380.28","374.19","10.09M","1.58%"
"11/21/2025","374.27","374.02","377.23","372.94","13.19M","-0.15%"
"11/20/2025","374.85","375.29","377.69","371.85","10.51M","-0.03%"
"11/19/2025","374.96","377.77","380.17","373.03","10.98M","0.16%"
"11/18/2025","374.35","374.83","375.54","371.62","7.82M","0.73%"
"11/17/2025","371.65","374.04","375.46","368.52","13.30M","-1.15%"
"11/14/2025","375.96","372.87","378.20","370.89","15.20M","-1.80%"
"11/13/2025","382.87","387.29","388.18","381.21","15.87M","-0.81%"
"11/12/2025","385.99","380.07","387.46","379.44","16.20M","1.61%"
"11/11/2025","379.87","379.98","380.40","376.87","10.75M","0.39%"
"11/10/2025","378.38","375.93","378.66","374.78","13.46M","2.73%"
"11/07/2025","368.31","367.94","370.42","366.42","11.06M","0.61%"
"11/06/2025","366.07","367.16","368.18","364.70","6.89M","-0.12%"
"11/05/2025","366.51","366.39","367.10","364.65","8.36M","1.16%"
"11/04/2025","362.32","363.48","365.74","361.39","11.54M","-1.75%"
"11/03/2025","368.78","368.91","370.84","367.54","7.25M","0.18%"
"10/31/2025","368.12","370.47","370.66","365.50","11.08M","-0.54%"
"10/30/2025","370.13","365.09","370.36","364.50","14.81M","1.96%"
"10/29/2025","363.00","369.65","370.08","361.36","18.89M","-0.38%"
"10/28/2025","364.38","361.81","365.30","360.12","19.26M","-0.72%"
"10/27/2025","367.01","371.13","371.59","365.34","23.66M","-2.78%"
"10/24/2025","377.52","378.51","380.77","376.81","13.26M","-0.34%"
"10/23/2025","378.79","381.46","382.25","378.65","13.70M","0.40%"
"10/22/2025","377.28","372.75","378.47","368.93","30.52M","0.01%"
"10/21/2025","377.24","386.54","388.89","375.65","54.10M","-6.43%"
"10/20/2025","403.15","397.45","403.30","394.20","34.52M","3.64%"
"10/17/2025","388.99","397.14","397.28","385.22","62.02M","-1.88%"
"10/16/2025","396.45","391.15","396.87","390.40","33.62M","2.34%"
"10/15/2025","387.39","385.93","387.76","384.59","20.60M","1.73%"
"10/14/2025","380.79","378.21","382.38","377.90","18.41M","0.71%"
"10/13/2025","378.09","376.50","378.86","375.58","18.51M","2.43%"
"10/10/2025","369.12","367.54","370.31","365.44","24.19M","1.01%"
"10/09/2025","365.43","373.14","373.22","362.83","33.67M","-1.85%"
"10/08/2025","372.30","371.65","373.57","370.50","28.05M","1.65%"
"10/07/2025","366.26","366.51","367.27","364.55","16.84M","0.52%"
"10/06/2025","364.38","362.16","365.30","361.37","17.09M","1.88%"
"10/03/2025","357.64","357.12","358.14","355.80","14.46M","0.80%"
"10/02/2025","354.79","358.26","358.67","351.40","16.16M","-0.35%"
"10/01/2025","356.03","356.17","356.97","354.79","15.57M","0.16%"
"09/30/2025","355.47","351.13","355.57","350.86","13.31M","0.85%"
"09/29/2025","352.46","351.79","352.83","351.28","15.72M","1.65%"
"09/26/2025","346.74","345.83","348.25","345.31","11.70M","0.58%"
"09/25/2025","344.75","344.39","345.83","342.47","12.64M","0.42%"
"09/24/2025","343.32","346.70","346.83","342.14","12.71M","-0.91%"
"09/23/2025","346.46","348.23","348.75","345.32","18.38M","0.41%"
"09/22/2025","345.05","342.75","345.07","341.84","12.39M","1.73%"
"09/19/2025","339.18","336.51","339.23","336.31","14.98M","1.06%"
"09/18/2025","335.62","336.22","336.32","333.81","14.91M","-0.40%"
"09/17/2025","336.97","338.53","341.24","335.52","16.54M","-0.77%"
"09/16/2025","339.59","340.09","340.88","338.62","12.16M","0.20%"
"09/15/2025","338.91","336.31","339.28","336.23","10.57M","1.04%"
"09/12/2025","335.42","335.88","336.39","335.23","9.62M","0.20%"
"09/11/2025","334.76","333.37","335.16","332.97","9.08M","-0.15%"
"09/10/2025","335.26","335.73","336.50","326.19","11.95M","0.36%"
"09/09/2025","334.06","337.03","338.31","333.85","21.64M","-0.23%"
